Displacement:0,Displacement:1,Displacement:2,Strain vectors:0,Strain vectors:1,Strain vectors:2,Stress vectors:0,Stress vectors:1,Stress vectors:2,Max shear stress (Tresca),Maximum Principal stress,Median Principal stress,Minimum Principal stress,Von Mises stress,Temperature,Points:0,Points:1,Points:2,Point ID
0,0,0,8.68583e-11,1.73139e-10,-0.0154009,21.5466,21.5466,-0.128817,10.9168,21.6257,21.5466,-0.207943,21.7942,213,12.8195,15.2478,-0.1,2111
0,0,0,8.33391e-11,1.97719e-10,-0.0154195,21.516,21.516,-0.185558,10.966,21.6312,21.516,-0.300774,21.8746,213,12.4733,15.8827,-0.1,2112
0,0,0,-1.40903e-07,1.55793e-07,-0.015402,21.5446,21.545,-0.132174,10.9609,21.6672,21.5448,-0.254633,21.8609,213,13.3833,15.8703,-0.1,2113
0,0,0,2.57432e-06,-1.65167e-07,-0.0154086,21.5416,21.5377,-0.148235,10.9963,21.6924,21.539,-0.300254,21.9163,213,14.1096,16.1043,-0.1,2114
0,0,0,2.15551e-10,2.07599e-10,-0.0153833,21.5755,21.5755,-0.0750578,11.0241,21.7743,21.5755,-0.273869,21.9495,213,15.1144,16.2199,-0.1,2115
0,0,0,1.99614e-10,1.78536e-10,-0.0153903,21.564,21.564,-0.0963721,10.959,21.6929,21.564,-0.225236,21.854,213,14.7343,15.3511,-0.1,2116
0,0,0,2.23087e-10,1.50091e-10,-0.0154103,21.5313,21.5313,-0.157267,10.9906,21.6777,21.5313,-0.303621,21.9085,213,15.3481,14.8421,-0.1,2117
0,0,0,5.32575e-07,4.80098e-08,-0.0154254,21.508,21.5074,-0.202578,10.9447,21.5975,21.5072,-0.291938,21.8445,213,14.3434,14.7265,-0.1,2118
0,0,0,1.19364e-10,1.07666e-10,-0.0154238,21.509,21.509,-0.198533,10.9126,21.5678,21.509,-0.257356,21.7958,213,13.8624,13.8766,-0.1,2119
0,0,0,1.27923e-10,2.74973e-10,-0.0154873,21.4048,21.4048,-0.39207,11.1111,21.6174,21.4048,-0.604715,22.1166,213,13.7634,16.7392,-0.1,2120
0,0,0,8.53819e-11,1.60643e-10,-0.0154028,21.5435,21.5435,-0.134436,10.9057,21.6103,21.5435,-0.201208,21.7782,213,7.36369,14.98,-0.1,2121
0,0,0,8.49933e-11,1.39345e-10,-0.0154019,21.5451,21.5451,-0.131625,10.8795,21.5862,21.5451,-0.172771,21.7385,213,7.94328,14.3234,-0.1,2122
0,0,0,-8.63161e-07,7.79163e-08,-0.01542,21.5128,21.5141,-0.188134,10.9051,21.5679,21.5131,-0.242216,21.7828,213,6.76228,14.3002,-0.1,2123
0,0,0,-2.24032e-07,4.12174e-07,-0.0153972,21.5527,21.5536,-0.117155,10.9454,21.6634,21.5531,-0.227371,21.8358,213,6.6378,15.6798,-0.1,2124
0,0,0,8.338e-11,1.84781e-10,-0.0153897,21.565,21.565,-0.0945254,10.9306,21.6658,21.565,-0.195375,21.811,213,7.8188,15.7029,-0.1,2125
0,0,0,2.30183e-08,-3.00927e-07,-0.0154187,21.517,21.5166,-0.183318,10.8956,21.5622,21.5169,-0.228881,21.7685,213,6.42045,13.291,-0.1,2126
0,0,0,-1.28339e-06,2.02205e-07,-0.0154258,21.5022,21.5043,-0.206328,10.9263,21.575,21.5028,-0.277572,21.8165,213,5.84086,13.9476,-0.1,2127
0,0,0,1.89964e-10,9.37288e-11,-0.0154236,21.5094,21.5094,-0.197913,10.9522,21.608,21.5094,-0.296472,21.8553,213,5.16395,13.5852,-0.1,2128
